reference_id,deposit_status,assigned,recieved_at,university,i20_status,created_at,modified_at
1327118,Yes,"Naresh Dama, Cheng Zhang",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1327154,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1327279,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1327330,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy, Jason Marquart, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1327440,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1327556,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1327823,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1328008,Yes,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1328081,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1328180,No,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1328543,Yes,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1328705,No,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1328741,No,"Naresh Dama, Fnu Mounika",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1328913,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1328975,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329237,Yes,"Naresh Dama, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329273,Yes,Naresh Dama,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329343,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329345,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329379,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329455,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329466,Yes,"Catherine Donahue, Fnu Mounika, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329781,Yes,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329806,Yes,"Palak Joshi, Madeline Schurman",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329838,Yes,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329955,Yes,Aliia Raitova,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1329963,Yes,"Naresh Dama, Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1329968,Yes,"Catherine Donahue, Divya Jhingan, Palak Joshi",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1330361,Yes,"Naresh Dama, Anna Kluemke",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1330368,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1331661,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1333564,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1333715,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1335265,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1335336,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1335508,Yes,"Brooke Armstrong, Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1335717,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1335782,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1335881,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Cheng Zhang",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1335885,Yes,"Alexander Mikhailov, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1335967,Yes,"Catherine Donahue, Fnu Mounika, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1338782,No,"Palak Joshi, Alexander Mikhailov",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1338784,Yes,"Anna Kluemke, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1338801,No,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1338817,Yes,"Naresh Dama, Victoria Dieckman, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
